"Item no.","EAN","HS Code","Description","Description 2","Launched","Colour","Surface","Base Surface","Materials","Length mm","Width mm","Height mm","Dia. mm.","Weight","Qty. pr. box","Category","Item status","Country of origin","AT RRP incl. VAT (EUR)","AT RRP excl. VAT (EUR)","BE RRP incl. VAT (EUR)","BE RRP excl. VAT (EUR)","CH RRP incl. VAT (CHF)","CH RRP excl. VAT (CHF)","CH Trade price in EUR excl. VAT","DE RRP incl. VAT (EUR)","DE RRP excl. VAT (EUR)","DK RRP incl. VAT (DKK)","DK RRP excl. VAT (DKK)","EE RRP incl. VAT (EUR)","EE RRP excl. VAT (EUR)","ES RRP incl. VAT (EUR)","ES RRP excl. VAT (EUR)","EXW RRP in EUR","FI RRP incl. VAT (EUR)","FI RRP excl. VAT (EUR)","FR RRP incl. VAT (EUR)","FR RRP excl. VAT (EUR)","HR RRP incl. VAT (EUR)","HR RRP excl. VAT (EUR)","IE RRP incl. VAT (EUR)","IE RRP excl. VAT (EUR)","IT RRP incl. VAT (EUR)","IT RRP excl. VAT (EUR)","LT RRP incl. VAT (EUR)","LT RRP excl. VAT (EUR)","LV RRP incl. VAT (EUR)","LV RRP excl. VAT (EUR)","NL RRP incl. VAT (EUR)","NL RRP excl. VAT (EUR)","NO RRP incl. VAT (NOK)","NO RRP excl. VAT (NOK)","NO Trade price in DKK excl. VAT","PL RRP incl. VAT (PLN)","PL RRP excl. VAT (PLN)","PL Trade Price in EUR excl. VAT","PT RRP incl. VAT (EUR)","PT RRP excl. VAT (EUR)","SE RRP incl. VAT (SEK)","SE RRP excl. VAT (SEK)","SE RRP excl. VAT (DKK)","SI RRP incl. VAT (EUR)","SI RRP excl. VAT (EUR)","SK RRP incl. VAT (EUR)","SK RRP excl. VAT (EUR)","UK RRP incl. VAT (GBP)","UK RRP excl. VAT (GBP)","UK List price in EUR excl. VAT","MSRP IN USD","Packshot 1","Packshot 2","Packshot 3","Packshot 4","Packshot 5","Lifestyle 1","Lifestyle 2","Lifestyle 3","Lifestyle 4","Lifestyle 5","Fragile","Small Parcel","Stackability","Certifications","Felt Glides incl.","Fittings incl.","Max recommended weight (kg)","Size, colour or structure may vary","Adjustable feet","Leg heights (mm)","Table top attached","Seatings","Seat depth (mm)","Connectors incl.","Cushions incl.","FR foam available","Crib 5 available","Holes for cables","Shelves incl.","Adjustable shelves","Dimensions between shelves (mm)","Care guide","Assembly required","Assembly instruction","Flatpacked","Box Info","Box 1 Height","Box 1 Length","Box 1 Width","Box 1 Weight","Box 2 Height","Box 2 Length","Box 2 Width","Box 2 Weight","Box 3 Height","Box 3 Length","Box 3 Width","Box 3 Weight","Box 4 Height","Box 4 Length","Box 4 Width","Box 4 Weight","Designer","Designer Bio","Product Text","Lamp shade diameter (mm)","Lamp shade height (mm)","Lamp shade material","Bulb incl.","Bulb base","Bulb type","No. of light sources","Cable incl.","Battery driven","UN Number","Battery incl.","Portable","Cord length (mm)","Cord material","Dimmable","Dimmable incl.","LED","LED lifetime (hours)","Kelvin","Lumen","Wattage","Voltage","Ceiling rose incl.","Seat Width","Quickship","Quickship US","Cable Colour","FSC","Customers Own Material","Seat Depth"
"140172","5712800022667","9403601000","Wallie wall drawer","Black painted metal with walnut veneer drawer","2016","Walnut","Smooth painted metal","Smooth","Walnut veneer, plywood, metal","300","225","100","","3,00","2","Shelving","ACTIVE","CN","179,00","149,17","179,00","147,93","179,00","165,74","167,00","179,00","150,42","1349,00","1079,20","179,00","147,93","179,00","179,00","179,00","179,00","144,35","179,00","149,17","179,00","143,20","179,00","145,53","179,00","147,93","179,00","147,93","179,00","147,93","179,00","147,93","2199,00","1759,20","1143,00","799,00","649,59","148,00","179,00","145,53","2129,00","1703,20","1107,00","179,00","146,72","179,00","146,72","229,00","190,83","223,00","329,00","https://presscloud.com/file/64/648514644681473/140172_WOUD_Wallie_walnut_1_exposed.jpg","https://presscloud.com/file/44/442162373424966/140172_WOUD_Wallie_walnut_2_exposed.jpg","https://presscloud.com/file/29/296060312021255/140172_WOUD_Wallie_walnut_3.jpg","https://presscloud.com/file/13/130723906712653/140172_WOUD_Wallie_walnut_4.jpg","NA","https://presscloud.com/file/63/631866244982948/WOUD_Lifestyle_2021_SS21_Wallie_walnut_1.jpg","https://presscloud.com/file/20/208700897111809/WOUD_Lifestyle_2021_SS21_Wallie_walnut_2.jpg","NA","NA","NA","Yes","Yes","","TSCA Title VI , CARB II , Prop 65","NA","Yes","5","No","NA","","","","","","","","","No","1","No","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","Yes","https://assets.presscloud.com/file/79/790501299181424/WALLIE_ASSEMBLY_INSTRUCTION.pdf","No","{""Box_1_Height_mm"":""266"",""Box_1_Width_mm"":""260"",""Box_1_Length_mm"":""336"",""Box_1_Weight_Kg"":""6,60""}","266","336","260","6,60","","","","","","","","","","","","","Amalie Skov Rahbæk","An upcoming talented designer born in Denmark. In her design process, she is very meticulous and reflecting. With the aim of carrying on the Scandinavian design traditions, she creates simple design but functional designs with different purposes and functions.","Wallie beautifully combines bent walnut with solid metal creating an elegant wall-mounted drawer. With its circular, soft shapes Wallie is a visually strong design that easily can act like a centrepiece or be combined with other designs. The bracket embraces the magnetic wood drawer making the design both minimalistic and functional. Wallie is perfect for storing small everyday essentials in the hallway or as a bedside table in the bedroom. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","NA","",""
"140175","5712800032291","9403601000","Wallie wall drawer","Grey beige painted metal with oak drawer","2016","Oak","Smooth painted metal","Smooth","Oak veneer, plywood, metal","300","225","100","","3,00","2","Shelving","ACTIVE","CN","169,00","140,83","169,00","139,67","159,00","147,22","148,00","169,00","142,02","1299,00","1039,20","169,00","139,67","169,00","169,00","169,00","169,00","136,29","169,00","140,83","169,00","135,20","169,00","137,40","169,00","139,67","169,00","139,67","169,00","139,67","169,00","139,67","2119,00","1695,20","1102,00","759,00","617,07","141,00","169,00","137,40","1999,00","1599,20","1039,00","169,00","138,52","169,00","138,52","219,00","182,50","213,00","299,00","https://presscloud.com/file/21/213804683577315/WOUD_140175_Wallie_Grey_beigeoak_Exposed.jpg","https://presscloud.com/file/86/868340115254728/WOUD_140175_Wallie_Grey_beigeoak_2_Exposed.jpg","https://presscloud.com/file/94/942590480501519/WOUD_140175_Wallie_Grey_beigeoak_3.jpg","NA","NA","https://presscloud.com/file/45/452624849173196/WOUD_SS24_Wallie_Cono.jpg","NA","NA","NA","NA","Yes","Yes","","TSCA Title VI , CARB II , Prop 65","NA","Yes","5","No","NA","","","","","","","","","No","1","No","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","Yes","https://assets.presscloud.com/file/79/790501299181424/WALLIE_ASSEMBLY_INSTRUCTION.pdf","No","{""Box_1_Height_mm"":""266"",""Box_1_Width_mm"":""260"",""Box_1_Length_mm"":""336"",""Box_1_Weight_Kg"":""6,60""}","266","336","260","6,60","","","","","","","","","","","","","Amalie Skov Rahbæk","An upcoming talented designer born in Denmark. In her design process, she is very meticulous and reflecting. With the aim of carrying on the Scandinavian design traditions, she creates simple design but functional designs with different purposes and functions.","Wallie beautifully combines bent oak with solid metal creating an elegant wall-mounted drawer. With its circular, soft shapes Wallie is a visually strong design that easily can act like a centrepiece or be combined with other designs. The bracket embraces the magnetic wood drawer making the design both minimalistic and functional. Wallie is perfect for storing small everyday essentials in the hallway or as a bedside table in the bedroom. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","NA","",""
"150027","5712800010008","4420190000","Hibo hippopotamus (Mini)","Matt lacquered solid oak","2017","Matt oak","Lacquer","Smooth","Solid oak","90","58","50","","0,08","4","Decorations","ACTIVE","VN","59,00","49,17","59,00","48,76","59,00","54,63","55,00","59,00","49,58","489,00","391,20","59,00","48,76","59,00","59,00","59,00","59,00","47,58","59,00","49,17","59,00","47,20","59,00","47,97","59,00","48,76","59,00","48,76","59,00","48,76","59,00","48,76","789,00","631,20","410,00","279,00","226,83","52,00","59,00","47,97","699,00","559,20","363,00","59,00","48,36","59,00","48,36","89,00","74,17","87,00","99,00","https://presscloud.com/file/85/852921863009294/150027_Hibo_hippopotamus,_mini_exposed.jpg","https://presscloud.com/file/17/172410351660603/150027_Hibo_hippopotamus_exposed.jpg","","","","https://presscloud.com/file/33/335260013554983/WOUD_Hibo_credit_@larissaxmar_1.jpg","https://presscloud.com/file/36/360197607689875/WOUD_Lifestyle_2017_Hibo.jpg","https://presscloud.com/file/11/114180860960621/WOUD_AW18_Hibo_3.jpg","","NA","Yes","Yes","","NA","NA","NA","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","No","","","{""Box_1_Height_mm"":""65"",""Box_1_Width_mm"":""175"",""Box_1_Length_mm"":""175"",""Box_1_Weight_Kg"":""0,48""}","65","175","175","0,48","","","","","","","","","","","","","Steffen Juul","A graduate from the Danish Design School. Since 1996, he has been running his own studio with great attention to create interaction between the design and the user. With a drive to create timeless designs, Steffen Juul focuses on the attractiveness of a design to establish a feeling of love and joy.","Hibo captures the nature of hippos in a simple and lovable sculpture made from solid oak. With the deep black eyes, Hibo has a vivid look.he expression of the hippopotamus can change as the head can be tilted to either side giving Hibo a charming and wondering look on its face. On its own or together with its family, Hibo will bring enjoyment to any room it enters.
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","FSC 100%","",""
"150029","5712800010022","4420190000","Nunu elephant (Mini)","Matt lacquered solid oak","2016","Matt oak","Lacquer","Smooth","Solid oak","95","82","78","","0,13","4","Decorations","ACTIVE","VN","99,00","82,50","99,00","81,82","79,00","73,15","74,00","99,00","83,19","749,00","599,20","99,00","81,82","99,00","99,00","89,00","99,00","79,84","99,00","82,50","99,00","79,20","99,00","80,49","99,00","81,82","99,00","81,82","99,00","81,82","99,00","81,82","1179,00","943,20","613,00","419,00","340,65","78,00","99,00","80,49","1119,00","895,20","582,00","99,00","81,15","99,00","81,15","129,00","107,50","126,00","149,00","https://presscloud.com/file/91/912310284098601/150029_Nunu_elephant,_mini_exposed.jpg","https://presscloud.com/file/90/901913923877608/150029_Nunu_elephants_exposed.jpg","","","","https://presscloud.com/file/87/876862342632790/WOUD_AW18_Nunu.jpg","https://presscloud.com/file/70/700987563803567/WOUD_SS22_TANGENT_NUNU.jpg","NA","","NA","Yes","Yes","","NA","NA","NA","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","No","","","{""Box_1_Height_mm"":""200"",""Box_1_Width_mm"":""110"",""Box_1_Length_mm"":""210"",""Box_1_Weight_Kg"":""0,80""}","200","210","110","0,80","","","","","","","","","","","","","Steffen Juul","A graduate from the Danish Design School. Since 1996, he has been running his own studio with great attention to create interaction between the design and the user. With a drive to create timeless designs, Steffen Juul focuses on the attractiveness of a design to establish a feeling of love and joy.","Nunu captures the nature of elephants in a simple and lovable sculpture made from solid oak. With the deep black eyes, Nunu has a vivid look. The expression of the elephant can change as the head can be tilted to either side giving Nunu a charming and wondering look on its face. On its own or together with its family, Nunu will bring enjoyment to any room it enters. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","FSC 100%","",""
"150033","5712800006889","4420190000","Hibo hippopotamus (Small)","Matt lacquered solid oak","2017","Matt oak","Lacquer","Smooth","Solid oak","120","77","69","","0,18","4","Decorations","ACTIVE","VN","99,00","82,50","99,00","81,82","89,00","82,41","83,00","99,00","83,19","769,00","615,20","99,00","81,82","99,00","99,00","89,00","99,00","79,84","99,00","82,50","99,00","79,20","99,00","80,49","99,00","81,82","99,00","81,82","99,00","81,82","99,00","81,82","1219,00","975,20","634,00","429,00","348,78","80,00","99,00","80,49","1169,00","935,20","608,00","99,00","81,15","99,00","81,15","139,00","115,83","135,00","139,00","https://presscloud.com/file/93/930625030074865/150033_Hibo_hippopotamus,_small_exposed.jpg","https://presscloud.com/file/44/444463828682547/150033_Hibo_hippopotamus,_small_2_exposed.jpg","https://presscloud.com/file/17/172410351660603/150027_Hibo_hippopotamus_exposed.jpg","","","https://presscloud.com/file/42/424679932852164/WOUD_SS22_ELEVATE_ARKIV_HIBO_PIDESTALL.jpg","https://presscloud.com/file/33/335260013554983/WOUD_Hibo_credit_@larissaxmar_1.jpg","https://presscloud.com/file/11/114180860960621/WOUD_AW18_Hibo_3.jpg","","NA","Yes","Yes","","NA","NA","NA","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","No","","","{""Box_1_Height_mm"":""80"",""Box_1_Width_mm"":""175"",""Box_1_Length_mm"":""260"",""Box_1_Weight_Kg"":""1,00""}","80","260","175","1,00","","","","","","","","","","","","","Steffen Juul","A graduate from the Danish Design School. Since 1996, he has been running his own studio with great attention to create interaction between the design and the user. With a drive to create timeless designs, Steffen Juul focuses on the attractiveness of a design to establish a feeling of love and joy.","Hibo captures the nature of hippos in a simple and lovable sculpture made from solid oak. With the deep black eyes, Hibo has a vivid look.he expression of the hippopotamus can change as the head can be tilted to either side giving Hibo a charming and wondering look on its face. On its own or together with its family, Hibo will bring enjoyment to any room it enters.
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","FSC 100%","",""
"150034","5712800006896","4420190000","Rina rhinoceros (Medium)","Matt lacquered solid oak","2018","Matt oak","Lacquer","Smooth","Solid oak","205","125","115","","0,70","2","Decorations","ACTIVE","VN","149,00","124,17","149,00","123,14","129,00","119,44","120,00","149,00","125,21","1139,00","911,20","149,00","123,14","149,00","149,00","129,00","149,00","120,16","149,00","124,17","149,00","119,20","149,00","121,14","149,00","123,14","149,00","123,14","149,00","123,14","149,00","123,14","1789,00","1431,20","930,00","639,00","519,51","119,00","149,00","121,14","1699,00","1359,20","883,00","149,00","122,13","149,00","122,13","199,00","165,83","194,00","199,00","https://presscloud.com/file/41/414408036629299/150034_Rina_rhinoceros,_medium_exposed.jpg","https://presscloud.com/file/33/337903371926756/150034_Rina_rhinoceros,_medium_2_exposed.jpg","https://presscloud.com/file/55/559783120273975/150028_Rina_rhinoceros_exposed.jpg","","","https://presscloud.com/file/83/830893814931340/WOUD_SS22_RINA_ELEVATE.jpg","https://presscloud.com/file/58/582627476136555/WOUD_Rina_rhinoceros.png","https://presscloud.com/file/62/626904460707477/WOUD_AW18_Rina_4.jpg","","NA","Yes","Yes","","NA","NA","NA","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","No","","","{""Box_1_Height_mm"":""125"",""Box_1_Width_mm"":""170"",""Box_1_Length_mm"":""215"",""Box_1_Weight_Kg"":""1,80""}","125","215","170","1,80","","","","","","","","","","","","","Steffen Juul","A graduate from the Danish Design School. Since 1996, he has been running his own studio with great attention to create interaction between the design and the user. With a drive to create timeless designs, Steffen Juul focuses on the attractiveness of a design to establish a feeling of love and joy.","Rina captures the nature of rhinos in a simple and lovable sculpture made from solid oak. With the deep black eyes, Rina has a vivid look. The expression of the rhinoceros can change as the head can be tilted to either side giving Rina a charming and wondering look on its face. On its own or together with its family, Rina will bring enjoyment to any room it enters. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","FSC 100%","",""
"150035","5712800006902","4420190000","Rina rhinoceros (Small)","Matt lacquered solid oak","2018","Matt oak","Lacquer","Smooth","Solid oak","130","79","70","","0,18","4","Decorations","ACTIVE","VN","99,00","82,50","99,00","81,82","89,00","82,41","83,00","99,00","83,19","769,00","615,20","99,00","81,82","99,00","99,00","89,00","99,00","79,84","99,00","82,50","99,00","79,20","99,00","80,49","99,00","81,82","99,00","81,82","99,00","81,82","99,00","81,82","1219,00","975,20","634,00","429,00","348,78","80,00","99,00","80,49","1169,00","935,20","608,00","99,00","81,15","99,00","81,15","139,00","115,83","135,00","139,00","https://presscloud.com/file/16/167916855719606/150035_Rina_rhinoceros,_small_exposed.jpg","https://presscloud.com/file/64/642592187727724/150035_Rina_rhinoceros,_small_2_exposed.jpg","https://presscloud.com/file/55/559783120273975/150028_Rina_rhinoceros_exposed.jpg","","","https://presscloud.com/file/83/830893814931340/WOUD_SS22_RINA_ELEVATE.jpg","https://presscloud.com/file/44/447603113951526/WOUD_Rina_Credit_@philcohen_4.JPG","https://presscloud.com/file/36/369853333200644/WOUD_Rina_Credit_@philcohen_3.JPG","https://presscloud.com/file/62/626904460707477/WOUD_AW18_Rina_4.jpg","NA","Yes","Yes","","NA","NA","NA","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","No","","","{""Box_1_Height_mm"":""80"",""Box_1_Width_mm"":""180"",""Box_1_Length_mm"":""280"",""Box_1_Weight_Kg"":""1,00""}","80","280","180","1,00","","","","","","","","","","","","","Steffen Juul","A graduate from the Danish Design School. Since 1996, he has been running his own studio with great attention to create interaction between the design and the user. With a drive to create timeless designs, Steffen Juul focuses on the attractiveness of a design to establish a feeling of love and joy.","Rina captures the nature of rhinos in a simple and lovable sculpture made from solid oak. With the deep black eyes, Rina has a vivid look. The expression of the rhinoceros can change as the head can be tilted to either side giving Rina a charming and wondering look on its face. On its own or together with its family, Rina will bring enjoyment to any room it enters. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","FSC 100%","",""
"150036","5712800006919","4420190000","Nunu elephant (Small)","Matt lacquered solid oak","2016","Matt oak","Lacquer","Smooth","Solid oak","140","108","100","","0,32","4","Decorations","ACTIVE","VN","139,00","115,83","139,00","114,88","119,00","110,19","111,00","139,00","116,81","1059,00","847,20","139,00","114,88","139,00","139,00","119,00","139,00","112,10","139,00","115,83","139,00","111,20","139,00","113,01","139,00","114,88","139,00","114,88","139,00","114,88","139,00","114,88","1679,00","1343,20","873,00","599,00","486,99","111,00","139,00","113,01","1479,00","1183,20","769,00","139,00","113,93","139,00","113,93","189,00","157,50","184,00","189,00","https://presscloud.com/file/13/132318231664511/150036_Nunu_elephant,_small_exposed.jpg","https://presscloud.com/file/90/901913923877608/150029_Nunu_elephants_exposed.jpg","","","","https://presscloud.com/file/87/876862342632790/WOUD_AW18_Nunu.jpg","NA","NA","","NA","Yes","Yes","","NA","NA","NA","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","No","","","{""Box_1_Height_mm"":""120"",""Box_1_Width_mm"":""235"",""Box_1_Length_mm"":""313"",""Box_1_Weight_Kg"":""1,60""}","120","313","235","1,60","","","","","","","","","","","","","Steffen Juul","A graduate from the Danish Design School. Since 1996, he has been running his own studio with great attention to create interaction between the design and the user. With a drive to create timeless designs, Steffen Juul focuses on the attractiveness of a design to establish a feeling of love and joy.","Nunu captures the nature of elephants in a simple and lovable sculpture made from solid oak. With the deep black eyes, Nunu has a vivid look. The expression of the elephant can change as the head can be tilted to either side giving Nunu a charming and wondering look on its face. On its own or together with its family, Nunu will bring enjoyment to any room it enters. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","FSC 100%","",""
"150037","5712800006926","4420190000","Nunu elephant (Medium)","Matt lacquered solid oak","2016","Matt oak","Lacquer","Smooth","Solid oak","198","165","160","","1,50","2","Decorations","ACTIVE","VN","179,00","149,17","179,00","147,93","159,00","147,22","148,00","179,00","150,42","1379,00","1103,20","179,00","147,93","179,00","179,00","149,00","179,00","144,35","179,00","149,17","179,00","143,20","179,00","145,53","179,00","147,93","179,00","147,93","179,00","147,93","179,00","147,93","2119,00","1695,20","1102,00","749,00","608,94","139,00","179,00","145,53","2009,00","1607,20","1045,00","179,00","146,72","179,00","146,72","239,00","199,17","233,00","239,00","https://presscloud.com/file/59/598009701805305/150037_Nunu_elephant,_medium_exposed.jpg","https://presscloud.com/file/90/901913923877608/150029_Nunu_elephants_exposed.jpg","","","","https://presscloud.com/file/87/876862342632790/WOUD_AW18_Nunu.jpg","https://presscloud.com/file/45/457297140700104/WOUD_SS22_LEAN_TRAY_SHELF_CONO_ARKIV_NUNU_1.jpg","NA","","NA","Yes","Yes","","NA","NA","NA","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","No","","","{""Box_1_Height_mm"":""185"",""Box_1_Width_mm"":""232"",""Box_1_Length_mm"":""365"",""Box_1_Weight_Kg"":""3,12""}","185","365","232","3,12","","","","","","","","","","","","","Steffen Juul","A graduate from the Danish Design School. Since 1996, he has been running his own studio with great attention to create interaction between the design and the user. With a drive to create timeless designs, Steffen Juul focuses on the attractiveness of a design to establish a feeling of love and joy.","Nunu captures the nature of elephants in a simple and lovable sculpture made from solid oak. With the deep black eyes, Nunu has a vivid look. The expression of the elephant can change as the head can be tilted to either side giving Nunu a charming and wondering look on its face. On its own or together with its family, Nunu will bring enjoyment to any room it enters. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","FSC 100%","",""
"150038","5712800005172","4420190000","Haak hook","Dark grey painted metal and solid oak","2017","Dark grey","Smooth painted metal","Smooth","Solid oak, metal","80","46","90","","0,19","4","Hooks & Hangers","ACTIVE","CN","55,00","45,83","55,00","45,45","49,00","45,37","46,00","55,00","46,22","399,00","319,20","55,00","45,45","55,00","55,00","49,00","55,00","44,35","55,00","45,83","55,00","44,00","55,00","44,72","55,00","45,45","55,00","45,45","55,00","45,45","55,00","45,45","649,00","519,20","337,00","229,00","186,18","42,00","55,00","44,72","619,00","495,20","322,00","55,00","45,08","55,00","45,08","79,00","65,83","77,00","99,00","https://presscloud.com/file/63/630679745262692/150038_Haak_hook_dark_grey_exposed.jpg","","","","","https://presscloud.com/file/31/319012937564892/WOUD_Lifestyle_2017_Haak.jpg","NA","NA","","NA","Yes","Yes","","NA","NA","Yes","","No","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","Yes","https://assets.presscloud.com/file/80/804172469644157/HAAK_ASSEMBLY_INSTRUCTION.pdf","","{""Box_1_Height_mm"":""140"",""Box_1_Width_mm"":""110"",""Box_1_Length_mm"":""215"",""Box_1_Weight_Kg"":""1,00""}","140","215","110","1,00","","","","","","","","","","","","","Rikke Frost","Since 2014, Rikke Frost has driven her own creative studio in Aarhus based on the Nordic simplicity. With profound love for matching materials and great attention to details, Rikke Frost creates designs that should be seen, felt and touched. Rikke Frost was one of the first designers who teamed up with WOUD and with a shared vision she has been a great part of the designer collective ever since.","With its round shape and simple design, Haak combines both beauty and functionality. The combination of the strong metal hook and the soft oak creates an elegant solution for hangers, bags or jackets. The clean lines in the outline of the hook make it ideal for the hallway or bedroom.
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
